TrxID	GeneName	GeneID	DpleGene	MsexGene
PIERAPT00000005931	ESTJ_2	PIERAPG00000002508	NA	Msex2.00909,Msex2.00910
PIERAPT00000005936	Tret1_10	PIERAPG00000002510	DPOGS213305	Msex2.03014,Msex2.03016
PIERAPT00000005940	VGLL4	PIERAPG00000002512	DPOGS215861	Msex2.03095
PIERAPT00000005942	TREA	PIERAPG00000002514	DPOGS215036	Msex2.03542
PIERAPT00000005944	Os01g0276800IMPI	PIERAPG00000002515	DPOGS211410	Msex2.07079
PIERAPT00000005945	dnc	PIERAPG00000002516	DPOGS207603	Msex2.04379
PIERAPT00000005948	CG32809AGAP005037	PIERAPG00000002517	DPOGS203296	NA
PIERAPT00000005961	sowahb	PIERAPG00000002519	DPOGS206791	Msex2.07403,Msex2.14163
PIERAPT00000005964	Grcc10	PIERAPG00000002521	DPOGS215052	Msex2.01108
PIERAPT00000005969	CG5021	PIERAPG00000002523	DPOGS210358	Msex2.13424
PIERAPT00000005972	shd	PIERAPG00000002524	DPOGS205009	Msex2.08297
PIERAPT00000005976	bab1	PIERAPG00000002526	DPOGS204086	Msex2.08162
PIERAPT00000005977	VCP	PIERAPG00000002527	NA	Msex2.05426
PIERAPT00000005979	RPRD1B	PIERAPG00000002529	DPOGS213717	Msex2.13410
PIERAPT00000005981	CSNK1G3	PIERAPG00000002530	DPOGS215239	Msex2.00721
PIERAPT00000005984	Slc27a1	PIERAPG00000002531	DPOGS209871	Msex2.04715
PIERAPT00000005986	znrf2	PIERAPG00000002532	DPOGS210340	Msex2.13425
PIERAPT00000005987	G112982	PIERAPG00000002533	DPOGS207304	Msex2.06152
PIERAPT00000005992	Fkbp8	PIERAPG00000002534	DPOGS211794	Msex2.05846
PIERAPT00000005993	HNRNPK	PIERAPG00000002535	DPOGS215946	NA
PIERAPT00000006003	AIMP1mrs-1	PIERAPG00000002536	DPOGS203169	Msex2.06745
PIERAPT00000006004	HCM1	PIERAPG00000002537	DPOGS204750	Msex2.03979
PIERAPT00000006009	pll	PIERAPG00000002538	DPOGS210260	NA
PIERAPT00000006010	pyrB	PIERAPG00000002539	DPOGS213255	Msex2.07263
PIERAPT00000006011	Tfpi	PIERAPG00000002540	DPOGS200206	Msex2.02475
PIERAPT00000006012	Pgls	PIERAPG00000002541	DPOGS211719	Msex2.01499
PIERAPT00000006013	SJCHGC08984pip	PIERAPG00000002542	DPOGS200294	Msex2.05348
PIERAPT00000006018	sftATKclpP2	PIERAPG00000002544	DPOGS213285	NA
PIERAPT00000006019	Lats1	PIERAPG00000002545	DPOGS210718	Msex2.02460
PIERAPT00000006021	IQCK	PIERAPG00000002547	DPOGS204836	Msex2.01060
PIERAPT00000006025	PGS1	PIERAPG00000002549	DPOGS203248	Msex2.07588
PIERAPT00000006028	CPN2	PIERAPG00000002551	NA	Msex2.04677,Msex2.04679,Msex2.04680
PIERAPT00000006030	OTOP2	PIERAPG00000002552	DPOGS210879	NA
PIERAPT00000006035	tomm40	PIERAPG00000002554	DPOGS209514	Msex2.09662
PIERAPT00000006037	PSMD5	PIERAPG00000002556	DPOGS202056	Msex2.00667
PIERAPT00000006040	CycBCCNB	PIERAPG00000002557	DPOGS203845,DPOGS203846	Msex2.07889
PIERAPT00000006043	Tmem130	PIERAPG00000002558	DPOGS209264	Msex2.02737
PIERAPT00000006047	B0303.7	PIERAPG00000002561	DPOGS204973	Msex2.08285
PIERAPT00000006050	mug129	PIERAPG00000002562	DPOGS212283	Msex2.03270
PIERAPT00000006052	mthl5	PIERAPG00000002563	NA	Msex2.05256
PIERAPT00000006054	Fndc3aSIZ2	PIERAPG00000002565	NA	Msex2.14109
PIERAPT00000006058	bre-4	PIERAPG00000002568	DPOGS215452	Msex2.12858
PIERAPT00000006063	rps6bvalS2	PIERAPG00000002569	DPOGS207349	Msex2.12470
PIERAPT00000006066	UBR3	PIERAPG00000002571	DPOGS201186	NA
PIERAPT00000006068	Dnaaf1VP5	PIERAPG00000002572	DPOGS200553	Msex2.08866
PIERAPT00000006085	MDN1	PIERAPG00000002574	DPOGS211783	Msex2.05867
PIERAPT00000006091	carB_2	PIERAPG00000002575	DPOGS215415	Msex2.07306
PIERAPT00000006093	SLC18B1	PIERAPG00000002576	DPOGS208746	Msex2.04115
PIERAPT00000006098	EBS1	PIERAPG00000002578	DPOGS209318	NA
PIERAPT00000006102	Ccdc65	PIERAPG00000002580	DPOGS209756	NA
PIERAPT00000006103	Mal-A1	PIERAPG00000002581	DPOGS201308	Msex2.09215
PIERAPT00000006107	actA3a	PIERAPG00000002583	DPOGS207384	NA
PIERAPT00000006108	Zdhhc17	PIERAPG00000002584	DPOGS215968	Msex2.12234
PIERAPT00000006112	fng	PIERAPG00000002585	DPOGS202101	Msex2.06772
PIERAPT00000006121	TSC1	PIERAPG00000002587	DPOGS204625	Msex2.13764
PIERAPT00000006124	EXOSC4	PIERAPG00000002588	DPOGS202373	Msex2.13558
PIERAPT00000006132	Tpsb2ACR	PIERAPG00000002593	DPOGS205231	NA
PIERAPT00000006135	fru	PIERAPG00000002594	DPOGS211707	Msex2.02782
PIERAPT00000006136	FAR1_2	PIERAPG00000002595	DPOGS215149	NA
PIERAPT00000006141	G113340	PIERAPG00000002597	DPOGS210546	Msex2.04245
PIERAPT00000006151	Abcb7	PIERAPG00000002599	DPOGS210077	Msex2.11947
PIERAPT00000006152	Inpp5b	PIERAPG00000002600	DPOGS201865	Msex2.11289
PIERAPT00000006154	LPSBP	PIERAPG00000002602	DPOGS209375	Msex2.13911,Msex2.14625
PIERAPT00000006161	Marcal1	PIERAPG00000002604	DPOGS201030	Msex2.05551
PIERAPT00000006162	G103276	PIERAPG00000002605	DPOGS200030	Msex2.05681
PIERAPT00000006164	egh	PIERAPG00000002606	DPOGS212203	Msex2.04560
PIERAPT00000006168	grn	PIERAPG00000002608	NA	Msex2.10263
PIERAPT00000006174	zmynd10	PIERAPG00000002609	DPOGS213468	Msex2.11481
PIERAPT00000006182	CD022	PIERAPG00000002614	DPOGS202129,DPOGS202130	Msex2.06763
PIERAPT00000006184	ceh-9	PIERAPG00000002616	DPOGS209032	Msex2.03244
PIERAPT00000006185	UBXN4	PIERAPG00000002617	DPOGS210188	Msex2.02151
PIERAPT00000006196	Cstf1	PIERAPG00000002619	DPOGS204562	Msex2.10439
PIERAPT00000006200	At1g48100	PIERAPG00000002620	DPOGS208642	NA
PIERAPT00000006202	GGCT	PIERAPG00000002622	DPOGS215639	Msex2.05471
PIERAPT00000006203	Ssu72	PIERAPG00000002623	DPOGS211846	Msex2.11820,Msex2.13448
PIERAPT00000006205	REX4	PIERAPG00000002625	DPOGS203061	NA
PIERAPT00000006208	G100960	PIERAPG00000002628	DPOGS209327	Msex2.07505
PIERAPT00000006210	Atp10d	PIERAPG00000002629	DPOGS200745	Msex2.07116
PIERAPT00000006218	Clbn	PIERAPG00000002630	DPOGS212811	Msex2.00870
PIERAPT00000006225	STOX1	PIERAPG00000002634	DPOGS210055	Msex2.12207
PIERAPT00000006229	PNLIPRP2_3	PIERAPG00000002635	DPOGS201472,DPOGS201481	Msex2.03908,Msex2.03896,Msex2.03907,Msex2.03909
PIERAPT00000006233	Tret1_11	PIERAPG00000002637	DPOGS213924	Msex2.13905
PIERAPT00000006240	grh_2	PIERAPG00000002638	DPOGS203683	Msex2.00231
PIERAPT00000006242	SNX12	PIERAPG00000002640	DPOGS200601	Msex2.04065
PIERAPT00000006243	TBX20	PIERAPG00000002641	DPOGS211117	Msex2.11206
PIERAPT00000006245	ZW	PIERAPG00000002642	DPOGS214247	Msex2.12611
PIERAPT00000006246	Or67c_2	PIERAPG00000002643	DPOGS204502	Msex2.03330
PIERAPT00000006253	Vps33a	PIERAPG00000002645	DPOGS206911	Msex2.03601
PIERAPT00000006259	DFP3	PIERAPG00000002649	DPOGS205720	NA
PIERAPT00000006261	USP7	PIERAPG00000002650	DPOGS213441	Msex2.02987
PIERAPT00000006266	ftsK_2	PIERAPG00000002651	NA	Msex2.13264
PIERAPT00000006268	DIHR	PIERAPG00000002652	DPOGS214005	Msex2.12903
PIERAPT00000006278	Slc4a3SLC4A2	PIERAPG00000002653	DPOGS200084	Msex2.03707
PIERAPT00000006280	Klk1b22COX4I1	PIERAPG00000002654	DPOGS201112	Msex2.06954
PIERAPT00000006287	RpL18A	PIERAPG00000002659	DPOGS209150	Msex2.04461
PIERAPT00000006289	Prdm5	PIERAPG00000002661	DPOGS202816	Msex2.07645
PIERAPT00000006297	SLC12A6SLC12A4	PIERAPG00000002662	DPOGS215753	Msex2.09637
PIERAPT00000006298	PAIP1	PIERAPG00000002663	DPOGS202463	Msex2.14150
PIERAPT00000006299	ACT	PIERAPG00000002664	DPOGS203388	Msex2.03685
PIERAPT00000006300	tll1	PIERAPG00000002665	DPOGS206492	Msex2.02899
PIERAPT00000006305	cpeZ	PIERAPG00000002668	DPOGS211725	Msex2.01505
PIERAPT00000006314	KIAA0825	PIERAPG00000002672	DPOGS209819	Msex2.10099
PIERAPT00000006317	APC10_2	PIERAPG00000002673	DPOGS207475	Msex2.08845,Msex2.12621
PIERAPT00000006318	kynA	PIERAPG00000002674	DPOGS209640	Msex2.05048
PIERAPT00000006319	FRMPD4ANKRD20A8P	PIERAPG00000002675	DPOGS200651	Msex2.04044
PIERAPT00000006324	ZNF431	PIERAPG00000002677	DPOGS213107	Msex2.13013
PIERAPT00000006327	B0563.6LPAR4	PIERAPG00000002679	DPOGS203056	Msex2.01277
PIERAPT00000006331	Iqub	PIERAPG00000002680	DPOGS210956	Msex2.00617
PIERAPT00000006332	tmem214-b	PIERAPG00000002681	DPOGS211222	Msex2.10085
PIERAPT00000006336	SNX2	PIERAPG00000002682	DPOGS214383	Msex2.09496
PIERAPT00000006340	Slc31a1	PIERAPG00000002683	DPOGS204498	Msex2.03313
PIERAPT00000006345	Myo61F	PIERAPG00000002685	NA	Msex2.13268
PIERAPT00000006346	LMP1	PIERAPG00000002686	DPOGS214680	NA
PIERAPT00000006352	ADAMTS16VMP03	PIERAPG00000002687	DPOGS213482	Msex2.11296
PIERAPT00000006363	G114358	PIERAPG00000002689	DPOGS205487	Msex2.08444
PIERAPT00000006364	SCAPER	PIERAPG00000002690	DPOGS206408	NA
PIERAPT00000006365	Snmp2	PIERAPG00000002691	DPOGS203025	Msex2.09957
PIERAPT00000006367	WDR44	PIERAPG00000002692	DPOGS208319	NA
PIERAPT00000006385	Suz12	PIERAPG00000002696	DPOGS213562	Msex2.02336
PIERAPT00000006389	LTK	PIERAPG00000002697	NA	Msex2.13030
PIERAPT00000006403	ZNF84	PIERAPG00000002698	NA	Msex2.05325
PIERAPT00000006412	SPCC1494.01	PIERAPG00000002699	DPOGS213103	Msex2.11759
PIERAPT00000006415	grau	PIERAPG00000002701	DPOGS214691	Msex2.03003
PIERAPT00000006417	zgc:103697CX056	PIERAPG00000002702	DPOGS203732	Msex2.09441
PIERAPT00000006421	NATT3	PIERAPG00000002704	DPOGS202599	Msex2.13499
PIERAPT00000006424	SLC1A6glt-4	PIERAPG00000002705	DPOGS210424	Msex2.08506
PIERAPT00000006426	ea_2	PIERAPG00000002706	DPOGS204147	Msex2.13599
PIERAPT00000006427	FAM126A	PIERAPG00000002707	DPOGS206079	Msex2.09183
PIERAPT00000006431	nrv2_2	PIERAPG00000002708	DPOGS201882	Msex2.06901
PIERAPT00000006432	CECA	PIERAPG00000002709	DPOGS210268,DPOGS210269	Msex2.13789,Msex2.14466
PIERAPT00000006433	Ndufv3	PIERAPG00000002710	NA	Msex2.01170
PIERAPT00000006437	mys	PIERAPG00000002711	DPOGS214289	Msex2.02031
PIERAPT00000006440	harbi1	PIERAPG00000002712	NA	Msex2.12888
PIERAPT00000006441	nAChRbeta2	PIERAPG00000002713	DPOGS209545	Msex2.05698
PIERAPT00000006448	Gld_8	PIERAPG00000002715	DPOGS207057	Msex2.11135
PIERAPT00000006451	MTPAP	PIERAPG00000002716	DPOGS203580	Msex2.07449
PIERAPT00000006462	Clec12b	PIERAPG00000002717	DPOGS211458	Msex2.01989
PIERAPT00000006464	D1044.1_2	PIERAPG00000002718	DPOGS205999,DPOGS209690,DPOGS210487,DPOGS210530	Msex2.08391
PIERAPT00000006465	ahctf1	PIERAPG00000002719	DPOGS206173	Msex2.10004
PIERAPT00000006470	ATP8B4Atp8b2	PIERAPG00000002722	DPOGS202529	Msex2.02500
PIERAPT00000006479	Sh2d3c	PIERAPG00000002727	DPOGS203032	NA
PIERAPT00000006480	set2	PIERAPG00000002728	DPOGS207870	Msex2.00478
PIERAPT00000006481	SEC3fhaB	PIERAPG00000002729	DPOGS202390	NA
PIERAPT00000006485	SLC6A4	PIERAPG00000002730	NA	Msex2.09105
PIERAPT00000006493	CG6388	PIERAPG00000002731	DPOGS215074	Msex2.06448
PIERAPT00000006494	eIF-5A	PIERAPG00000002732	DPOGS204668	Msex2.03457,Msex2.10260
PIERAPT00000006495	G112085	PIERAPG00000002733	DPOGS208460	Msex2.07855
PIERAPT00000006496	locoRGS3	PIERAPG00000002734	DPOGS208825	NA
PIERAPT00000006499	Atg5	PIERAPG00000002735	DPOGS213116	Msex2.12458
PIERAPT00000006500	Pla2g12a	PIERAPG00000002736	DPOGS216044	Msex2.01676
PIERAPT00000006501	brn	PIERAPG00000002737	DPOGS215053	Msex2.01109
PIERAPT00000006504	Edrf1	PIERAPG00000002738	DPOGS206291	Msex2.08053
PIERAPT00000006509	FEM1B	PIERAPG00000002739	DPOGS209214	Msex2.09063
PIERAPT00000006513	Tnk2	PIERAPG00000002740	DPOGS212131	Msex2.06193
PIERAPT00000006514	FKBP65	PIERAPG00000002741	DPOGS212857	Msex2.00894
PIERAPT00000006525	Shab	PIERAPG00000002742	DPOGS213525	Msex2.02399
PIERAPT00000006528	Efr3bmenD	PIERAPG00000002743	DPOGS200087	Msex2.09009
PIERAPT00000006534	140up	PIERAPG00000002748	DPOGS207571	Msex2.11376
PIERAPT00000006536	wdr18	PIERAPG00000002749	NA	Msex2.12767
PIERAPT00000006539	ATIC	PIERAPG00000002751	DPOGS208890	Msex2.10529
PIERAPT00000006541	mettl2metl	PIERAPG00000002752	DPOGS202729	Msex2.01871
PIERAPT00000006543	SLC35F5	PIERAPG00000002753	DPOGS208340	Msex2.14146
PIERAPT00000006549	PMPCA	PIERAPG00000002754	DPOGS204399	Msex2.03334
PIERAPT00000006551	Dynlt1	PIERAPG00000002756	DPOGS212495	Msex2.11429
PIERAPT00000006552	G103550	PIERAPG00000002757	NA	Msex2.05696
PIERAPT00000006557	Ndufs2	PIERAPG00000002760	DPOGS204928	Msex2.01935
PIERAPT00000006558	idhb-1	PIERAPG00000002761	DPOGS215558	Msex2.11193
PIERAPT00000006567	MCTP2MCTP1	PIERAPG00000002762	DPOGS211535	Msex2.01516
PIERAPT00000006577	CG5098_2	PIERAPG00000002764	DPOGS215069	Msex2.03540
PIERAPT00000006579	eIF3-S10	PIERAPG00000002765	DPOGS207071	Msex2.13111
PIERAPT00000006584	EGT_3	PIERAPG00000002766	DPOGS205683	NA
PIERAPT00000006587	PIGX	PIERAPG00000002767	NA	Msex2.08675
PIERAPT00000006594	Taf12	PIERAPG00000002770	DPOGS212019	Msex2.12292
PIERAPT00000006595	L_2	PIERAPG00000002771	DPOGS208464	Msex2.07861
PIERAPT00000006596	NDUFA8	PIERAPG00000002772	DPOGS202261	Msex2.12581
PIERAPT00000006600	ndx-3	PIERAPG00000002775	DPOGS201033	Msex2.05548
PIERAPT00000006602	LAMA5LAMC1Lamb2hisB	PIERAPG00000002776	NA	Msex2.03238
PIERAPT00000006607	ttc30a	PIERAPG00000002777	DPOGS206720	Msex2.04490
PIERAPT00000006608	abhd11	PIERAPG00000002778	DPOGS207068	NA
PIERAPT00000006612	5NUC	PIERAPG00000002779	DPOGS215482	Msex2.07731
PIERAPT00000006619	lin-10	PIERAPG00000002780	DPOGS201547	Msex2.07680
PIERAPT00000006627	TDRD1	PIERAPG00000002786	NA	Msex2.13749
PIERAPT00000006629	Dcr-1	PIERAPG00000002787	DPOGS211065	NA
PIERAPT00000006630	Pax6	PIERAPG00000002788	DPOGS216098	NA
PIERAPT00000006631	Syf2	PIERAPG00000002789	DPOGS201034	NA
PIERAPT00000006634	CPM	PIERAPG00000002791	DPOGS207768	Msex2.06651
PIERAPT00000006636	unc-4	PIERAPG00000002792	DPOGS200324	Msex2.05376
PIERAPT00000006641	PicotSLC17A5	PIERAPG00000002796	DPOGS204659	Msex2.13313
PIERAPT00000006645	SAYSD1	PIERAPG00000002797	DPOGS202690	Msex2.07894
PIERAPT00000006648	Pal2	PIERAPG00000002799	DPOGS202935	Msex2.06381
PIERAPT00000006650	neur	PIERAPG00000002800	DPOGS214978	Msex2.08420
PIERAPT00000006653	MED27	PIERAPG00000002802	DPOGS206369	Msex2.00947
PIERAPT00000006656	EIF4G2	PIERAPG00000002804	DPOGS215965	Msex2.12236
PIERAPT00000006661	Patronin	PIERAPG00000002805	DPOGS210921	Msex2.00285
PIERAPT00000006665	NDUFA8_2	PIERAPG00000002806	DPOGS202261	Msex2.12581
PIERAPT00000006668	FSIP1rsmC	PIERAPG00000002808	DPOGS209582	NA
PIERAPT00000006676	TIMELESS	PIERAPG00000002809	DPOGS200117	Msex2.00688
PIERAPT00000006677	Coq7	PIERAPG00000002810	DPOGS206394	NA
PIERAPT00000006679	ARRDC1	PIERAPG00000002811	NA	Msex2.11659
PIERAPT00000006684	pin4	PIERAPG00000002813	DPOGS204273	Msex2.07036
PIERAPT00000006685	si:dkey-22a1.3	PIERAPG00000002814	DPOGS208492	Msex2.06703
PIERAPT00000006687	rho-5	PIERAPG00000002815	DPOGS203610	Msex2.01160
PIERAPT00000006691	crf2-1	PIERAPG00000002818	DPOGS211853	Msex2.13879
PIERAPT00000006692	G107770	PIERAPG00000002819	DPOGS209039	Msex2.03251
PIERAPT00000006697	PF14_0175pnp	PIERAPG00000002820	NA	Msex2.06340
PIERAPT00000006701	G106223	PIERAPG00000002821	DPOGS214417	NA
PIERAPT00000006710	Cyp49a1	PIERAPG00000002824	DPOGS206339	Msex2.00093
PIERAPT00000006712	pfdn1	PIERAPG00000002825	DPOGS201380	Msex2.06575
PIERAPT00000006716	G109245	PIERAPG00000002827	DPOGS215477	Msex2.04445
PIERAPT00000006719	ASPG	PIERAPG00000002828	DPOGS202036	NA
PIERAPT00000006724	tiprl	PIERAPG00000002829	DPOGS211928	Msex2.04548
PIERAPT00000006726	kdm8	PIERAPG00000002830	DPOGS210029	NA
PIERAPT00000006728	sesB	PIERAPG00000002831	DPOGS205211	Msex2.14995
PIERAPT00000006729	LSM5	PIERAPG00000002832	DPOGS200692	Msex2.02582
PIERAPT00000006731	coq6	PIERAPG00000002833	NA	Msex2.06590
PIERAPT00000006739	MRGBP	PIERAPG00000002836	DPOGS211744	Msex2.15269
PIERAPT00000006744	usp20	PIERAPG00000002837	DPOGS213475	NA
PIERAPT00000006753	AP3B2Ap3b1	PIERAPG00000002838	DPOGS201087	Msex2.06456
PIERAPT00000006757	Thg1l	PIERAPG00000002839	DPOGS211096	Msex2.10071
PIERAPT00000006759	Nalcn_3	PIERAPG00000002841	DPOGS206551	Msex2.07142
PIERAPT00000006761	Spase12	PIERAPG00000002842	DPOGS209263	Msex2.02739
PIERAPT00000006763	Katnal2	PIERAPG00000002843	DPOGS201069	Msex2.06462
PIERAPT00000006766	CG32281	PIERAPG00000002845	DPOGS205828	Msex2.12576
PIERAPT00000006767	CIB2	PIERAPG00000002846	DPOGS201404	Msex2.07683
PIERAPT00000006768	TRYP7TRYP4	PIERAPG00000002847	NA	Msex2.04725
PIERAPT00000006771	TARBP1	PIERAPG00000002848	DPOGS202835	Msex2.10766
PIERAPT00000006776	ttll6	PIERAPG00000002850	DPOGS202506	Msex2.02504
PIERAPT00000006783	COGSJon99Cii	PIERAPG00000002855	NA	Msex2.02891,Msex2.02892
PIERAPT00000006784	IFT22	PIERAPG00000002856	DPOGS206461	NA
PIERAPT00000006787	LRP5	PIERAPG00000002857	DPOGS214168	Msex2.03152
PIERAPT00000006789	RAB32	PIERAPG00000002858	DPOGS201533	Msex2.14298
PIERAPT00000006790	TCB1	PIERAPG00000002859	DPOGS200050	NA
PIERAPT00000006800	gprs	PIERAPG00000002863	DPOGS204938	Msex2.00121
PIERAPT00000006803	Cep89dnaK	PIERAPG00000002864	DPOGS212232	Msex2.05915
PIERAPT00000006811	CORO7	PIERAPG00000002865	DPOGS200573	NA
PIERAPT00000006818	alkJGld	PIERAPG00000002867	NA	Msex2.09715
PIERAPT00000006822	Atp6ap1	PIERAPG00000002868	DPOGS205239	Msex2.09815
PIERAPT00000006824	CAT	PIERAPG00000002870	DPOGS210053	Msex2.11681
PIERAPT00000006825	Hm13	PIERAPG00000002871	DPOGS202915	Msex2.12177
PIERAPT00000006827	MYLK2DHX35	PIERAPG00000002872	DPOGS208356	Msex2.14000
PIERAPT00000006828	AcCoAS	PIERAPG00000002873	DPOGS206130	Msex2.09097
PIERAPT00000006833	sge1	PIERAPG00000002876	DPOGS211490	NA
PIERAPT00000006837	Zfpl1	PIERAPG00000002879	DPOGS202242	Msex2.08093
PIERAPT00000006838	Slc36a4	PIERAPG00000002880	DPOGS202985	Msex2.06588
PIERAPT00000006840	Nup133	PIERAPG00000002882	DPOGS214760	Msex2.06782
PIERAPT00000006846	SERAC1	PIERAPG00000002884	DPOGS212556	Msex2.07346
PIERAPT00000006848	BicC	PIERAPG00000002886	DPOGS209499	Msex2.13002
PIERAPT00000006850	G110270	PIERAPG00000002887	DPOGS207573	Msex2.10499
PIERAPT00000006851	Cav3	PIERAPG00000002888	DPOGS210621	Msex2.03046
PIERAPT00000006854	QflA-14927	PIERAPG00000002889	DPOGS205782	Msex2.10222
PIERAPT00000006855	prpf38a	PIERAPG00000002890	DPOGS214909	Msex2.10629
PIERAPT00000006856	Cdc16	PIERAPG00000002891	DPOGS204128,DPOGS205550	Msex2.00766
PIERAPT00000006869	FOXP1	PIERAPG00000002892	DPOGS213641	Msex2.03660
PIERAPT00000006871	rbsA	PIERAPG00000002893	DPOGS200250	Msex2.10535
PIERAPT00000006880	NOX4	PIERAPG00000002894	DPOGS200182	Msex2.06757
PIERAPT00000006884	VM2J	PIERAPG00000002896	DPOGS216060	Msex2.01686
PIERAPT00000006885	SAK_2	PIERAPG00000002897	DPOGS206060	Msex2.10032
PIERAPT00000006903	Tprg1l	PIERAPG00000002902	DPOGS209629	Msex2.11954
PIERAPT00000006904	CG12259	PIERAPG00000002903	DPOGS202034	Msex2.13254
PIERAPT00000006908	INT1arl6	PIERAPG00000002904	NA	Msex2.07338
PIERAPT00000006912	ectA	PIERAPG00000002905	DPOGS209239	NA
PIERAPT00000006915	SdhB	PIERAPG00000002907	DPOGS201688	Msex2.11671
PIERAPT00000006917	VPS39	PIERAPG00000002908	DPOGS206627	Msex2.00523
PIERAPT00000006924	Fam98a	PIERAPG00000002910	DPOGS211989	Msex2.13971
PIERAPT00000006925	hemC	PIERAPG00000002911	DPOGS205877	Msex2.11219
PIERAPT00000006927	mRpL11	PIERAPG00000002913	DPOGS204204	Msex2.11728
PIERAPT00000006932	G106677	PIERAPG00000002914	DPOGS205354	Msex2.02985
PIERAPT00000006939	INTS12	PIERAPG00000002915	DPOGS200933	Msex2.03117
PIERAPT00000006941	asa1	PIERAPG00000002916	DPOGS200996	NA
PIERAPT00000006951	Mgea5	PIERAPG00000002918	DPOGS213232	Msex2.11823
PIERAPT00000006955	Ift52	PIERAPG00000002919	DPOGS213429	Msex2.05932
PIERAPT00000006963	GBP	PIERAPG00000002921	DPOGS215983	NA
PIERAPT00000006965	MON1A	PIERAPG00000002922	DPOGS214918	Msex2.10628
PIERAPT00000006967	Slc9b2	PIERAPG00000002923	DPOGS214215	NA
PIERAPT00000006968	SUN1	PIERAPG00000002924	DPOGS200302	Msex2.05366
PIERAPT00000006969	Sphk2	PIERAPG00000002925	DPOGS212979	Msex2.03486
PIERAPT00000006971	Hsc70-5	PIERAPG00000002927	DPOGS205238	Msex2.09813
PIERAPT00000006975	Efcab14	PIERAPG00000002928	DPOGS214670	Msex2.05239
PIERAPT00000006979	PCID2	PIERAPG00000002929	DPOGS208879	Msex2.00627
PIERAPT00000006984	Syn	PIERAPG00000002933	DPOGS207958	Msex2.03125
PIERAPT00000006985	Large	PIERAPG00000002934	DPOGS205975	Msex2.10565
PIERAPT00000006987	PSME3	PIERAPG00000002935	DPOGS209751	Msex2.00139
PIERAPT00000006991	DCX-EMAP	PIERAPG00000002936	DPOGS200140	Msex2.01015
PIERAPT00000006999	SIDL_2	PIERAPG00000002939	DPOGS207340	NA
PIERAPT00000007003	G113867	PIERAPG00000002940	DPOGS206360	Msex2.08673
PIERAPT00000007005	ttc17	PIERAPG00000002942	DPOGS205681	Msex2.07970
PIERAPT00000007011	slc30a9	PIERAPG00000002944	DPOGS207484	Msex2.13104,Msex2.14111
PIERAPT00000007012	ZNHIT3	PIERAPG00000002945	DPOGS207811	NA
PIERAPT00000007016	wac	PIERAPG00000002948	DPOGS201371	Msex2.06576
PIERAPT00000007019	gd	PIERAPG00000002950	DPOGS208871	Msex2.00634
PIERAPT00000007027	Tret1_12	PIERAPG00000002952	NA	Msex2.13621
PIERAPT00000007029	STS1	PIERAPG00000002954	DPOGS205474	Msex2.13276
PIERAPT00000007032	Tret1_13	PIERAPG00000002956	DPOGS201924	Msex2.06519
PIERAPT00000007033	purA	PIERAPG00000002957	DPOGS205827	NA
PIERAPT00000007034	CG7686	PIERAPG00000002958	DPOGS210172	Msex2.07205
PIERAPT00000007035	pdp1	PIERAPG00000002959	DPOGS201148	Msex2.13201,Msex2.13202
PIERAPT00000007038	Cyp305a1_2	PIERAPG00000002960	DPOGS207181	Msex2.07399
PIERAPT00000007040	gd_2	PIERAPG00000002961	DPOGS207003	Msex2.05076
PIERAPT00000007049	otk	PIERAPG00000002963	DPOGS205507	Msex2.11027,Msex2.14242
PIERAPT00000007051	CTR2_3	PIERAPG00000002964	NA	Msex2.15143
PIERAPT00000007053	CENPL	PIERAPG00000002965	DPOGS207530	Msex2.05215
PIERAPT00000007054	TkR86C_2	PIERAPG00000002966	DPOGS209815	Msex2.10089
PIERAPT00000007056	CU01	PIERAPG00000002968	DPOGS201799	NA
PIERAPT00000007057	CUD2_2	PIERAPG00000002969	DPOGS207984	Msex2.11889
PIERAPT00000007058	ASPH	PIERAPG00000002970	DPOGS201739	Msex2.06513
PIERAPT00000007059	SPINK1	PIERAPG00000002971	DPOGS208165	Msex2.14483
PIERAPT00000007060	eIF-2gammaEIF2S3	PIERAPG00000002972	NA	Msex2.05587
PIERAPT00000007064	Sobp	PIERAPG00000002973	DPOGS214516	Msex2.00340
PIERAPT00000007066	Tery	PIERAPG00000002974	DPOGS213514	Msex2.02417
PIERAPT00000007068	RP43tld	PIERAPG00000002975	DPOGS210843	Msex2.06440
PIERAPT00000007070	Slc22a1	PIERAPG00000002976	DPOGS210498	Msex2.07428
PIERAPT00000007072	PDAP1	PIERAPG00000002977	NA	Msex2.02711
PIERAPT00000007073	truA_2	PIERAPG00000002978	DPOGS208799	NA
PIERAPT00000007074	acsF	PIERAPG00000002979	DPOGS203880	Msex2.13689
PIERAPT00000007075	AK8	PIERAPG00000002980	DPOGS208773	Msex2.10248
PIERAPT00000007079	LCMT1	PIERAPG00000002983	DPOGS210609	Msex2.11318
PIERAPT00000007081	Scpep1_2	PIERAPG00000002984	DPOGS213691	Msex2.08351
PIERAPT00000007084	Gpr158	PIERAPG00000002985	DPOGS201285	Msex2.05402
PIERAPT00000007086	TXF11	PIERAPG00000002986	DPOGS204050	Msex2.07779
PIERAPT00000007096	Fur2	PIERAPG00000002988	DPOGS215393	Msex2.04615
